Name,Age,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Name-additional
Ronald Acuña Jr.,27,19,12,6,5,2,0,1,1,0,0,7,2,player.fcgi?id=acuna-002ron
Eddy Alvarez*,35,197,159,28,28,5,0,5,14,10,3,28,45,player.fcgi?id=alvare003---
Nacho Alvarez Jr.,22,79,63,10,16,3,0,1,7,0,1,11,15,player.fcgi?id=alvare000ign
Jesús Bastidas,26,159,139,20,36,6,0,4,15,4,1,19,40,player.fcgi?id=bastid000jes
Matthew Batten,30,399,360,32,69,14,1,11,36,12,3,34,104,player.fcgi?id=batten000mat
Cade Bunnell*,28,112,99,8,21,5,0,2,11,1,0,11,46,player.fcgi?id=bunnel000cad
Elio Campos,21,0,0,1,0,0,0,0,0,0,0,0,0,player.fcgi?id=campos002eli
Conner Capel*,28,414,367,43,86,10,3,10,39,21,4,42,83,player.fcgi?id=capel-000con
Cal Conley#,25,17,16,2,4,1,0,0,0,0,0,1,5,player.fcgi?id=conley000cal
Garrett Cooper,34,138,123,8,28,4,0,2,17,1,0,13,33,player.fcgi?id=cooper005gar
Bryan De La Cruz,28,43,40,1,8,1,0,0,1,0,0,3,14,player.fcgi?id=delacr000bry
Jason Delay,30,214,195,13,42,8,0,0,12,1,0,14,37,player.fcgi?id=delay-000jas
José Devers*,25,110,98,10,28,5,0,2,17,1,1,9,15,player.fcgi?id=devers000jos
Stuart Fairchild,29,13,12,3,5,1,0,0,0,1,0,1,3,player.fcgi?id=fairch000stu
David Fletcher,31,217,205,12,37,9,0,3,15,3,0,7,30,player.fcgi?id=fletch002dav
Jim Jarvis*,24,10,9,2,3,2,0,0,2,0,0,0,2,player.fcgi?id=jarvis000jim
Jarred Kelenic*,25,399,362,40,77,17,3,4,29,11,8,36,110,player.fcgi?id=keleni000jar
Charles Leblanc,29,95,79,8,23,2,0,0,8,0,1,12,19,player.fcgi?id=leblan000cha
Sandy León#,36,211,187,19,31,6,0,10,19,2,0,18,66,player.fcgi?id=leon--001san
Eddys Leonard,24,494,439,48,105,18,4,20,61,11,5,36,95,player.fcgi?id=leonar003edd
Jake Marisnick,34,45,41,5,4,1,0,1,1,1,0,3,13,player.fcgi?id=marisn001jac
David McCabe#,25,112,98,8,23,4,0,4,19,1,0,13,32,player.fcgi?id=mccabe000dav
James McCann,35,160,148,19,44,11,0,6,30,0,0,9,41,player.fcgi?id=mccann002jam
Cody Milligan*,26,169,142,17,30,4,3,0,10,12,3,23,45,player.fcgi?id=millig000cod
Sean Murphy,30,10,10,1,2,0,0,1,2,0,0,0,1,player.fcgi?id=murphy006sea
Joe Olsavsky,23,3,2,0,0,0,0,0,0,0,0,0,2,player.fcgi?id=olsavs000joe
Jonathan Ornelas,25,333,295,35,57,3,3,10,28,6,5,33,86,player.fcgi?id=ornela000jon
Jurickson Profar#,32,59,48,7,16,3,0,3,9,0,0,8,6,player.fcgi?id=profar001jur
Carlos Rodríguez*,24,533,474,53,117,10,1,8,32,17,8,49,68,player.fcgi?id=rodrig026car
Luis Sanchez,21,4,3,0,1,0,0,0,1,0,2,1,0,player.fcgi?id=sanche016lui
Chandler Seagle,29,54,52,6,11,3,0,0,0,0,0,1,16,player.fcgi?id=seagle000cha
Alex Verdugo*,29,33,29,8,6,1,0,2,4,1,0,4,4,player.fcgi?id=verdug000ale
Luke Waddell*,26,380,324,34,88,17,1,1,30,5,2,46,47,player.fcgi?id=waddel000luk
Luke Williams,28,96,88,4,10,1,0,0,2,3,0,7,32,player.fcgi?id=willia000luc
Brett Wisely*,26,9,8,0,3,1,0,0,0,0,0,1,1,player.fcgi?id=wisely000bre
Adam Zebrowski,24,11,10,1,2,1,0,0,1,1,0,1,3,player.fcgi?id=zebrow000ada